* Disclaimer:
* THIS FILE IS PROVIDED AS IS AND WITH:
* (A)  NO WARRANTY OF ANY KIND, express, implied or statutory, including any implied warranties of merchantability, fitness for a particular purpose and noninfringement, which Infineon disclaims to the maximum extent permitted by applicable law; and
* (B)  NO INDEMNIFICATION FOR INFRINGEMENT OF INTELLECTUAL PROPERTY RIGHTS.
* LIMITATION OF LIABILITY:  IN NO EVENT SHALL INFINEON BE LIABLE FOR ANY DIRECT, INDIRECT, SPECIAL, INCIDENTAL, OR CONSEQUENTIAL DAMAGES (INCLUDING LOST PROFITS OR SAVINGS) WHATSOEVER, WHETHER BASED ON CONTRACT, TORT OR 
Defect_short_911,I83.I7.net049,I83.I7.net011,I83.I7.M5,nana,g,s
Defect_short_912,I83.I7.S0,I83.I7.S0_n,I83.I7.I30.ntrans11,nana,g,d
Defect_short_913,I83.I7.S0,I83.I7.S0_n,I83.I7.I30.ptrans10,pana,g,d
Defect_short_914,I83.I7.S0,I83.I7.S0_n,I83.I7.I27.ntrans11,nana,d,g
Defect_short_915,I83.I7.S0,I83.I7.S0_n,I83.I7.I27.ptrans10,pana,d,g
Defect_short_916,I83.I7.S0,I83.I7.net063,I83.I7.I84.M4,nana,g,s
Defect_short_917,I83.I7.S0,I83.I7.net078,I83.I7.I78.M4,nana,g,d
Defect_short_918,I83.I7.S0,I83.I7.net076,I83.I7.I78.M4,nana,g,s
Defect_short_919,I83.I7.S0,I83.I7.net0117,I83.I7.I81.M4,nana,g,s
Defect_short_920,I83.I7.S0,I83.I7.net019,I83.I7.I81.M4,nana,g,d
Defect_short_921,I83.I7.S0,I83.I7.net018,I83.I7.I34.ntrans11,nana,d,g
Defect_short_922,I83.I7.S0,I83.I7.net018,I83.I7.I34.ptrans10,pana,d,g
Defect_short_923,I83.I7.S0_n,I83.I7.net063,I83.I7.I84.M3,pana,g,d
Defect_short_924,I83.I7.S0_n,I83.I7.net078,I83.I7.I78.M3,pana,g,s
Defect_short_925,I83.I7.S0_n,I83.I7.net076,I83.I7.I78.M3,pana,g,d
Defect_short_926,I83.I7.S0_n,I83.I7.net0117,I83.I7.I81.M3,pana,g,d
Defect_short_927,I83.I7.S0_n,I83.I7.net019,I83.I7.I81.M3,pana,g,s
Defect_short_928,I83.I7.S0_n,I83.I7.net020,I83.I7.I35.ntrans11,nana,d,g
Defect_short_929,I83.I7.S0_n,I83.I7.net020,I83.I7.I35.ptrans10,pana,d,g
Defect_short_930,I83.I7.net063,I83.I7.S1,I83.I7.I83.M4,nana,s,g
Defect_short_931,I83.I7.net063,I83.I7.S1_n,I83.I7.I83.M3,pana,d,g
Defect_short_932,I83.I7.net063,I83.I7.net076,I83.I7.M4,nana,g,d
Defect_short_933,I83.I7.net063,I83.I7.disable,I83.I7.M44,nana,d,g
Defect_short_934,I83.I7.net063,I83.I7.net011,I83.I7.M4,nana,g,s
Defect_short_935,I83.I7.S1,I83.I7.S1_n,I83.I7.I23.ntrans11,nana,g,d
Defect_short_936,I83.I7.S1,I83.I7.S1_n,I83.I7.I23.ptrans10,pana,g,d
Defect_short_937,I83.I7.S1,I83.I7.S1_n,I83.I7.I24.ntrans11,nana,d,g
Defect_short_938,I83.I7.S1,I83.I7.S1_n,I83.I7.I24.ptrans10,pana,d,g
Defect_short_939,I83.I7.S1,I83.I7.net078,I83.I7.I79.M4,nana,g,d
Defect_short_940,I83.I7.S1,I83.I7.net076,I83.I7.I80.M4,nana,g,d
Defect_short_941,I83.I7.S1,I83.I7.net0117,I83.I7.I80.M4,nana,g,s
Defect_short_942,I83.I7.S1,I83.I7.net019,I83.I7.I79.M4,nana,g,s
Defect_short_943,I83.I7.S1,I83.I7.net022,I83.I7.I20.ntrans11,nana,d,g
Defect_short_944,I83.I7.S1,I83.I7.net022,I83.I7.I20.ptrans10,pana,d,g
Defect_short_945,I83.I7.S1_n,I83.I7.net078,I83.I7.I79.M3,pana,g,s
Defect_short_946,I83.I7.S1_n,I83.I7.net076,I83.I7.I80.M3,pana,g,s
Defect_short_947,I83.I7.S1_n,I83.I7.net0117,I83.I7.I80.M3,pana,g,d
Defect_short_948,I83.I7.S1_n,I83.I7.net019,I83.I7.I79.M3,pana,g,d
Defect_short_949,I83.I7.S1_n,I83.I7.net024,I83.I7.I19.ntrans11,nana,d,g
Defect_short_950,I83.I7.S1_n,I83.I7.net024,I83.I7.I19.ptrans10,pana,d,g
Defect_short_951,I83.I7.net078,I83.I7.net076,I83.I7.I78.M4,nana,d,s
Defect_short_952,I83.I7.net078,I83.I7.net076,I83.I7.I78.M3,pana,s,d
Defect_short_953,I83.I7.net078,I83.I7.net076,I83.I7.M3,pana,g,d
Defect_short_954,I83.I7.net078,I83.I7.net019,I83.I7.I79.M4,nana,d,s
Defect_short_955,I83.I7.net078,I83.I7.net019,I83.I7.I79.M3,pana,s,d
Defect_short_956,I83.I7.net078,I83.I7.net019,I83.I7.M1,pana,g,d
Defect_short_957,I83.I7.net078,I83.I7.enable,I83.I7.M16,pana,d,g
Defect_short_958,I83.I7.net076,I83.I7.net0117,I83.I7.I80.M4,nana,d,s
Defect_short_959,I83.I7.net076,I83.I7.net0117,I83.I7.I80.M3,pana,s,d
Defect_short_960,I83.I7.net076,I83.I7.enable,I83.I7.M12,pana,d,g
Defect_short_961,I83.I7.net076,I83.I7.net011,I83.I7.M4,nana,d,s
Defect_short_962,I83.I7.net0117,I83.I7.net019,I83.I7.I81.M4,nana,s,d
Defect_short_963,I83.I7.net0117,I83.I7.net019,I83.I7.I81.M3,pana,d,s
Defect_short_964,I83.I7.net0117,I83.I7.net070,I83.I7.C1_turbo_m2,capacitor1,2
Defect_short_965,I83.I7.net0117,I83.I7.enable,I83.I7.M14,pana,d,g
Defect_short_966,I83.I7.net019,I83.I7.enable,I83.I7.M13,pana,d,g
Defect_short_967,I83.I7.net019,I83.I7.net011,I83.I7.M5,nana,d,s
Defect_short_968,I83.I7.enable,I83.I7.net060,I83.I7.M40,nana,g,s
Defect_short_969,I83.I7.enable,I83.I7.I136.net39,I83.I7.I136.ptrans23,pana,g,d
Defect_short_970,I83.I7.enable,I83.I7.I136.net32,I83.I7.I136.ntrans20,nana,g,d
Defect_short_971,I83.I7.enable,I83.I7.I137.net39,I83.I7.I137.ptrans23,pana,g,d
Defect_short_972,I83.I7.enable,I83.I7.I137.net32,I83.I7.I137.ntrans20,nana,g,d
Defect_short_973,I83.I7.enable,I83.I7.I94.net24,I83.I7.I94.ntrans12,nana,d,g
Defect_short_974,I83.I7.enable,I83.I7.I94.net24,I83.I7.I94.ptrans14,pana,d,g
Defect_short_975,I83.I7.disable,I83.I7.net021,I83.I7.M46,nana,g,d
Defect_short_976,I83.I7.disable,I83.I7.vb_n,I83.I7.M38,nana,g,d
Defect_short_977,I83.I7.disable,I83.I7.net011,I83.I7.M45,nana,g,d
Defect_short_978,I83.I7.disable,I83.I7.net060,I83.I7.M49,nana,g,d
Defect_short_979,I83.I7.disable,I83.I7.net033,I83.I7.M48,nana,g,d
Defect_short_980,I83.I7.net021,I83.I7.vb_n,I83.I7.M33,nana,d,g
Defect_short_981,I83.I7.net021,I83.I7.net011,I83.I7.M34,nana,s,d
Defect_short_982,I83.I7.net021,I83.I7.net060,I83.I7.M34,nana,s,g
Defect_short_983,I83.I7.vb_n,I83.I7.net060,I83.I7.N17,nana,s,g
Defect_short_984,I83.I7.vb_n,I83.I7.net033,I83.I7.M50,nana,g,d
Defect_short_985,I83.I7.net011,I83.I7.net060,I83.I7.M34,nana,d,g
Defect_short_986,I83.I7.net060,I83.I7.net033,I83.I7.M51,nana,g,s
Defect_short_987,I83.I7.net059,I83.I7.net044,I83.I7.I106.ntrans18,nana,d,g
Defect_short_988,I83.I7.net059,I83.I7.I118.net031,I83.I7.I118.ntrans13,nana,g,d
Defect_short_989,I83.I7.net059,I83.I7.I118.net031,I83.I7.I118.ptrans15,pana,g,d
Defect_short_990,I83.I7.net059,I83.I7.I106.net27,I83.I7.I106.ptrans17,pana,d,s
Defect_short_991,I83.I7.net014,I83.I7.net057,I83.I7.I107.ntrans19,nana,g,d
Defect_short_992,I83.I7.net014,I83.I7.net057,I83.I7.I107.ptrans17,pana,g,d
Defect_short_993,I83.I7.net014,I83.I7.I118.net031,I83.I7.I118.N10,nana,d,g
Defect_short_994,I83.I7.net014,I83.I7.I118.net031,I83.I7.I118.P10,pana,d,g
Defect_short_995,I83.I7.net014,I83.I7.I136.net39,I83.I7.I136.ntrans21,nana,g,d
Defect_short_996,I83.I7.net014,I83.I7.I136.net39,I83.I7.I136.ptrans24,pana,g,d
Defect_short_997,I83.I7.net014,I83.I7.I136.net32,I83.I7.I136.ntrans21,nana,g,s
Defect_short_998,I83.I7.net014,I83.I7.I107.net27,I83.I7.I107.ptrans17,pana,g,s
Defect_short_999,I83.I7.net057,I83.I7.net050,I83.I7.I107.ntrans18,nana,d,g
Defect_short_1000,I83.I7.net057,I83.I7.I119.net031,I83.I7.I119.ntrans13,nana,g,d
Defect_short_1001,I83.I7.net057,I83.I7.I119.net031,I83.I7.I119.ptrans15,pana,g,d
Defect_short_1002,I83.I7.net057,I83.I7.I107.net27,I83.I7.I107.ptrans17,pana,d,s
Defect_short_1003,I83.I7.net044,I83.I7.I119.net031,I83.I7.I119.N10,nana,d,g
Defect_short_1004,I83.I7.net044,I83.I7.I119.net031,I83.I7.I119.P10,pana,d,g
Defect_short_1005,I83.I7.net044,I83.I7.I137.net39,I83.I7.I137.ntrans21,nana,g,d
Defect_short_1006,I83.I7.net044,I83.I7.I137.net39,I83.I7.I137.ptrans24,pana,g,d
Defect_short_1007,I83.I7.net044,I83.I7.I137.net32,I83.I7.I137.ntrans21,nana,g,s
Defect_short_1008,I83.I7.net044,I83.I7.I106.net27,I83.I7.I106.ptrans16,pana,g,d
Defect_short_1009,I83.I7.net068,I83.I7.net0123,I83.I7.I38.ntrans11,nana,g,d
Defect_short_1010,I83.I7.net068,I83.I7.net0123,I83.I7.I38.ptrans10,pana,g,d
Defect_short_1011,I83.I7.net068,I83.I7.net0110,I83.I7.I37.ntrans11,nana,g,d
Defect_short_1012,I83.I7.net068,I83.I7.net0110,I83.I7.I37.ptrans10,pana,g,d
Defect_short_1013,I83.I7.net068,I83.I7.I136.net39,I83.I7.I136.ntrans22,nana,d,g
Defect_short_1014,I83.I7.net068,I83.I7.I136.net39,I83.I7.I136.ptrans25,pana,d,g
Defect_short_1015,I83.I7.net0105,I83.I7.net0111,I83.I7.I47.ntrans11,nana,g,d
Defect_short_1016,I83.I7.net0105,I83.I7.net0111,I83.I7.I47.ptrans10,pana,g,d
Defect_short_1017,I83.I7.net0105,I83.I7.net017,I83.I7.I49.ntrans11,nana,g,d
Defect_short_1018,I83.I7.net0105,I83.I7.net017,I83.I7.I49.ptrans10,pana,g,d
Defect_short_1019,I83.I7.net0105,I83.I7.I137.net39,I83.I7.I137.ntrans22,nana,d,g
Defect_short_1020,I83.I7.net0105,I83.I7.I137.net39,I83.I7.I137.ptrans25,pana,d,g
Defect_short_1021,I83.I7.net018,I83.I7.net020,I83.I7.I31.ntrans11,nana,g,d
Defect_short_1022,I83.I7.net018,I83.I7.net020,I83.I7.I31.ptrans10,pana,g,d
Defect_short_1023,I83.I7.net018,I83.I7.net020,I83.I7.I33.ntrans11,nana,d,g
Defect_short_1024,I83.I7.net018,I83.I7.net020,I83.I7.I33.ptrans10,pana,d,g
Defect_short_1025,I83.I7.net018,I83.I7.net017,I83.I7.I146.ntrans11,nana,s,d
Defect_short_1026,I83.I7.net018,I83.I7.net017,I83.I7.I146.ptrans10,pana,s,d
Defect_short_1027,I83.I7.net0123,I83.I7.net022,I83.I7.I56.ntrans11,nana,d,s
Defect_short_1028,I83.I7.net0123,I83.I7.net022,I83.I7.I56.ptrans10,pana,d,s
Defect_short_1029,I83.I7.net0110,I83.I7.net024,I83.I7.I46.ntrans11,nana,g,d
Defect_short_1030,I83.I7.net0110,I83.I7.net024,I83.I7.I46.ptrans10,pana,g,d
Defect_short_1031,I83.I7.net024,I83.I7.net022,I83.I7.I17.ntrans11,nana,d,g
Defect_short_1032,I83.I7.net024,I83.I7.net022,I83.I7.I17.ptrans10,pana,d,g
Defect_short_1033,I83.I7.net024,I83.I7.net022,I83.I7.I18.ntrans11,nana,g,d
Defect_short_1034,I83.I7.net024,I83.I7.net022,I83.I7.I18.ptrans10,pana,g,d
Defect_short_1035,I83.I7.net0111,I83.I7.net020,I83.I7.I48.ntrans11,nana,g,d
Defect_short_1036,I83.I7.net0111,I83.I7.net020,I83.I7.I48.ptrans10,pana,g,d
Defect_short_1037,I83.I7.net050,I83.I7.I107.net27,I83.I7.I107.ptrans16,pana,g,d
Defect_short_1038,I83.I7.I136.net39,I83.I7.I136.net32,I83.I7.I136.ntrans21,nana,d,s
Defect_short_1039,I83.I7.I137.net39,I83.I7.I137.net32,I83.I7.I137.ntrans21,nana,d,s
